pid,year,shape_score,shape_flag,shape_direction,shape_reasons,has_episode
AOI-0007,2020,0.37717254847400383,False,слабее нормы,пик сдвинут на -19 дн.; средний Z -0.3; амплитуда 0.57,True
AOI-0007,2021,0.42556239825402326,False,слабее нормы,старт роста сдвинут на +38 дн.; пик сдвинут на +20 дн.; дней ниже нормы 23%,True
AOI-0007,2022,0.42048030135549086,False,сильнее нормы,пик 155% нормы; амплитуда 0.72; суммарная вегетация 123% нормы,False
AOI-0007,2023,0.5028222877906149,False,сильнее нормы,старт роста сдвинут на +44 дн.; спад сдвинут на +53 дн.; пик сдвинут на +37 дн.,True
AOI-0007,2024,0.38422148480112533,False,слабее нормы,амплитуда 0.64; пик 138% нормы; пик сдвинут на -18 дн.,False
AOI-0007,2025,0.38582762473892646,False,слабее нормы,амплитуда 0.62; пик 133% нормы; дней ниже нормы 3%,False
AOI-0008,2010,0.42574768068884145,False,слабее нормы,старт роста сдвинут на +17 дн.; пик 86% нормы; спад сдвинут на +22 дн.,False
AOI-0008,2011,0.3755719002907825,False,слабее нормы,дней ниже нормы 0%; суммарная вегетация 94% нормы; пик 111% нормы,False
AOI-0008,2012,0.40614804563047513,False,слабее нормы,амплитуда 0.32; пик 92% нормы; средний Z +0.4,False
AOI-0008,2013,0.4992679694233806,False,слабее нормы,старт роста сдвинут на +31 дн.; амплитуда 0.20; пик 69% нормы,True
AOI-0008,2014,0.4741939287534398,False,слабее нормы,суммарная вегетация 65% нормы; средний Z -1.0; пик 70% нормы,True
AOI-0008,2015,0.3766499868368442,False,слабее нормы,амплитуда 0.58; дней ниже нормы 5%; суммарная вегетация 105% нормы,False
AOI-0008,2016,0.40322269519606674,False,сильнее нормы,средний Z +0.8; суммарная вегетация 126% нормы; амплитуда 0.63,False
AOI-0008,2017,0.3972372513434891,False,слабее нормы,старт роста сдвинут на +17 дн.; дней ниже нормы 23%; пик сдвинут на +14 дн.,True
AOI-0008,2018,0.3946587183476803,False,слабее нормы,дней ниже нормы 31%; средний Z -0.5; пик сдвинут на -16 дн.,True
AOI-0008,2019,0.41911616892134035,False,сильнее нормы,средний Z +0.7; амплитуда 0.68; суммарная вегетация 118% нормы,True
AOI-0008,2020,0.47227857615206037,False,слабее нормы,старт роста сдвинут на +31 дн.; дней ниже нормы 42%; пик сдвинут на +41 дн.,True
AOI-0008,2021,0.41867190483046807,False,сильнее нормы,средний Z +1.0; суммарная вегетация 122% нормы; амплитуда 0.69,False
AOI-0008,2022,0.3915515119854751,False,слабее нормы,старт роста сдвинут на +17 дн.; пик сдвинут на +13 дн.; амплитуда 0.59,False
AOI-0008,2023,0.44647943953346886,False,сильнее нормы,суммарная вегетация 140% нормы; средний Z +0.8; амплитуда 0.72,False
AOI-0008,2024,0.551286989214397,True,слабее нормы,дней ниже нормы 57%; пик 37% нормы; суммарная вегетация 52% нормы,True
AOI-0008,2025,0.4319039232839117,False,сильнее нормы,суммарная вегетация 126% нормы; амплитуда 0.73; пик 150% нормы,False
AOI-0009,2010,0.401766485156224,False,слабее нормы,средний Z -0.5; суммарная вегетация 83% нормы; дней ниже нормы 23%,True
AOI-0009,2011,0.48091172220474815,False,слабее нормы,старт роста сдвинут на +53 дн.; пик сдвинут на +45 дн.; спад сдвинут на +47 дн.,True
AOI-0009,2012,0.6177905694737846,True,слабее нормы,старт роста сдвинут на +80 дн.; суммарная вегетация 36% нормы; пик 47% нормы,False
AOI-0009,2013,0.4628263919880349,False,слабее нормы,старт роста сдвинут на +31 дн.; спад сдвинут на +46 дн.; пик сдвинут на +35 дн.,True
AOI-0009,2014,0.4094387498405129,False,слабее нормы,старт роста сдвинут на +17 дн.; амплитуда 0.65; суммарная вегетация 85% нормы,True
AOI-0009,2015,0.3865833651090593,False,слабее нормы,дней ниже нормы 0%; пик 99% нормы; спад сдвинут на +11 дн.,False
AOI-0009,2016,0.40442208387786605,False,сильнее нормы,средний Z +0.7; суммарная вегетация 118% нормы; старт роста сдвинут на +12 дн.,False
AOI-0009,2017,0.38437587344960833,False,слабее нормы,амплитуда 0.60; дней ниже нормы 3%; средний Z -0.3,False
AOI-0009,2018,0.3962028961154906,False,слабее нормы,средний Z -0.6; суммарная вегетация 84% нормы; пик 104% нормы,False
AOI-0009,2019,0.42566335710983405,False,слабее нормы,старт роста сдвинут на +24 дн.; суммарная вегетация 78% нормы; средний Z -0.4,True
AOI-0009,2020,0.38833157477525637,False,слабее нормы,дней ниже нормы 32%; средний Z -0.4; амплитуда 0.61,True
AOI-0009,2021,0.41327290250695636,False,сильнее нормы,средний Z +1.1; суммарная вегетация 122% нормы; амплитуда 0.68,False
AOI-0009,2022,0.3803634036580288,False,слабее нормы,амплитуда 0.66; пик 127% нормы; суммарная вегетация 105% нормы,False
AOI-0009,2023,0.3952450752049147,False,сильнее нормы,суммарная вегетация 127% нормы; средний Z +0.7; дней ниже нормы 0%,False
AOI-0009,2024,0.4898799686370166,False,сильнее нормы,старт роста сдвинут на +44 дн.; спад сдвинут на +61 дн.; пик сдвинут на +34 дн.,True
AOI-0009,2025,0.3896481663113593,False,слабее нормы,амплитуда 0.67; пик сдвинут на -22 дн.; спад сдвинут на -19 дн.,True
AOI-0010,2010,0.3730353589075429,False,сильнее нормы,дней ниже нормы 0%; пик сдвинут на +10 дн.; пик 107% нормы,False
AOI-0010,2011,0.3771424206907327,False,сильнее нормы,средний Z +0.4; пик сдвинут на +12 дн.; спад сдвинут на +5 дн.,True
AOI-0010,2012,0.48529065253484904,False,слабее нормы,суммарная вегетация 62% нормы; пик 60% нормы; амплитуда 0.20,True
AOI-0010,2013,0.37758679507090737,False,сильнее нормы,амплитуда 0.64; дней ниже нормы 2%; пик 130% нормы,False
AOI-0010,2014,0.4126923891069045,False,слабее нормы,средний Z -0.7; дней ниже нормы 26%; амплитуда 0.63,True
AOI-0010,2015,0.5370667448929713,False,слабее нормы,пик 42% нормы; средний Z -1.4; суммарная вегетация 54% нормы,True
AOI-0010,2016,0.3890526976319782,False,сильнее нормы,старт роста сдвинут на +12 дн.; амплитуда 0.63; средний Z +0.4,False
AOI-0010,2017,0.38081761151152255,False,слабее нормы,спад сдвинут на +9 дн.; средний Z -0.2; амплитуда 0.55,True
AOI-0010,2018,0.42328036969209243,False,слабее нормы,дней ниже нормы 40%; амплитуда 0.69; средний Z -0.5,True
AOI-0010,2019,0.3781108178803104,False,сильнее нормы,амплитуда 0.64; суммарная вегетация 108% нормы; пик 126% нормы,True
AOI-0010,2020,0.4261336775933356,False,слабее нормы,пик сдвинут на -38 дн.; дней ниже нормы 36%; средний Z -0.6,True
AOI-0010,2021,0.4861193250840952,False,слабее нормы,амплитуда 0.15; пик 57% нормы; дней ниже нормы 34%,True
AOI-0010,2022,0.4265870450572932,False,сильнее нормы,средний Z +1.2; суммарная вегетация 129% нормы; дней ниже нормы 0%,False
AOI-0010,2023,0.45426184274538567,False,сильнее нормы,средний Z +1.4; суммарная вегетация 128% нормы; пик сдвинут на +19 дн.,False
AOI-0010,2024,0.3717942954265631,False,сильнее нормы,дней ниже нормы 0%; амплитуда 0.59; суммарная вегетация 107% нормы,False
AOI-0010,2025,0.3773201617260484,False,слабее нормы,средний Z -0.2; пик сдвинут на +8 дн.; амплитуда 0.56,False
AOI-0011,2010,0.44770258987616784,False,слабее нормы,пик сдвинут на +47 дн.; спад сдвинут на +44 дн.; старт роста сдвинут на +25 дн.,True
AOI-0011,2011,0.38266103468524404,False,слабее нормы,средний Z -0.4; суммарная вегетация 87% нормы; амплитуда 0.59,False
AOI-0011,2012,0.43160375731988704,False,слабее нормы,суммарная вегетация 70% нормы; старт роста сдвинут на +21 дн.; средний Z -0.4,False
AOI-0011,2013,0.45426843621031243,False,слабее нормы,старт роста сдвинут на +36 дн.; пик сдвинут на +34 дн.; спад сдвинут на +36 дн.,True
AOI-0011,2014,0.3883350699784925,False,слабее нормы,амплитуда 0.65; средний Z -0.4; дней ниже нормы 23%,True
AOI-0011,2015,0.37318581149208063,False,сильнее нормы,амплитуда 0.63; дней ниже нормы 0%; пик сдвинут на -6 дн.,False
AOI-0011,2016,0.4027799279461032,False,слабее нормы,старт роста сдвинут на +22 дн.; средний Z +0.4; дней ниже нормы 0%,False
AOI-0011,2017,0.3774548788097346,False,слабее нормы,амплитуда 0.65; дней ниже нормы 0%; суммарная вегетация 104% нормы,False
AOI-0011,2018,0.4081752491258665,False,слабее нормы,средний Z -0.7; дней ниже нормы 28%; суммарная вегетация 82% нормы,True
AOI-0011,2019,0.4125323060244278,False,слабее нормы,старт роста сдвинут на +27 дн.; суммарная вегетация 84% нормы; дней ниже нормы 21%,True
AOI-0011,2020,0.3864255988569849,False,слабее нормы,амплитуда 0.62; средний Z -0.4; дней ниже нормы 22%,False
